Data-set,Original,Smote,Artificial
ACCMSB25,47.82535125,50.10481,54.30026875
ACCMSB12,31.42283875,35.91810375,39.7595075
ACCMSB6,17.27608625,23.13294125,30.094395
GCHMSB25,50.7640125,53.488085,57.2220625
GCHMSB12,37.0521,44.3633925,44.06992
GCHMSB6,17.62968125,30.04538125,30.10602
CCVMSB25,51.9531075,55.58771875,57.68379375
CCVMSB12,33.2994025,42.368805,43.34435
CCVMSB6,15.3002125,27.2113025,29.05452125
Haralick6Intensity25,47.07238375,48.68708125,51.40160125
Haralick6Intensity12,34.82872375,39.82428625,37.35461875
Haralick6Intensity6,15.98357,26.17992,26.300832875
BICMSB25,50.301786747,55.111426506,57.4200963855
BICMSB12,31.0465975904,40.5601915663,41.699826506
BICMSB6,15.5412915663,23.5120807229,23.9191891566
