150	2	256
0	0	1	0.06662 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.06758 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.01544 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00574 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.04436 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.06154 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.05211 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.01791 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00424 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00873 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.08656 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.04694 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.08206 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.03065 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.04637 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.08121 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00003 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00345 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.04059 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.04214 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.07616 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.03615 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00175 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00005 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00215 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.02051 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.05896 0.00000 
1	0	1	0.01631 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.01941 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00565 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00012 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00165 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00632 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.01080 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00475 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00066 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00151 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00648 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00641 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.01442 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.01523 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00627 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.01239 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00931 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.07112 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.02693 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.24280 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.11856 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.01160 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.08101 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00838 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.03409 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.25795 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00989 0.00000 
2	0	1	0.01474 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00185 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00514 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.01021 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00560 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.02544 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.01059 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.01389 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00514 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.01802 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.14507 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.01686 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.02348 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00952 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.11084 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.12596 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.19575 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.18544 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00584 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.01212 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00031 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.02069 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.03136 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00613 0.00000 
3	0	1	0.02725 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00584 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00363 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00026 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.06992 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.11348 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.01344 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00346 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.09471 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.04924 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.02452 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.03564 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00517 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00063 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.02155 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00006 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.11571 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.32626 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.05495 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00009 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.02031 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.01387 0.00000 
4	0	1	0.02286 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00500 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00034 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00441 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.01225 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00529 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00050 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00429 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00876 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.01259 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00592 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.01349 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.06299 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00877 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.03232 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.05969 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00938 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.05577 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.26801 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.25816 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.01108 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00841 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00011 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00081 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.03577 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.08447 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00854 0.00000 
5	0	1	0.11620 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.09178 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.05455 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.06709 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.11816 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.08171 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.05103 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.03706 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00154 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00426 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.03589 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.10574 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.10858 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00397 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00113 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00017 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00081 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.02275 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.08975 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00281 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00005 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00047 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00450 0.00000 
6	0	1	0.01797 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00674 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00050 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00011 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00684 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.03523 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.01221 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00084 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.05997 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.01930 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.03468 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.01318 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.09563 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.05891 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.01714 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.03751 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.03065 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.05855 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.02448 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.03452 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.10284 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.15930 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00018 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00139 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.15750 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.01382 0.00000 
7	0	1	0.04387 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.01018 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00197 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00011 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.02695 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.03752 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00977 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00490 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00372 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.02197 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.03778 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.01115 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.03297 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00621 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.01332 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.04825 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.03572 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.11786 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.02126 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00803 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.13356 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.15585 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.09431 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.07446 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00040 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.01154 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00432 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.02667 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00539 0.00000 
8	0	1	0.03426 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.01636 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00572 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00113 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00926 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.03529 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.03177 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.02055 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00031 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00600 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.02980 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.03140 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.12141 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.05420 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.01605 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.08748 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00011 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.03865 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.31590 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.09885 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.01662 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00133 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00168 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.01927 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00661 0.00000 
9	0	1	0.20390 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.01418 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00011 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.05467 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.04683 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.01564 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00055 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.01933 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.01122 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.05074 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.02847 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.03970 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00443 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.01825 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.12346 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00136 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.02899 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.11397 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.16681 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.01837 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00064 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00020 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00993 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.02370 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00456 0.00000 
