162	2	58
0	1	1	0.20533 0.18165 0.16650 0.15902 0.18317 0.16172 0.16425 0.15681 0.20191 0.20533 0.15663 0.13968 0.14505 0.20533 0.15771 0.13287 0.14043 0.19994 0.20533 0.15594 0.13955 0.14343 0.18891 0.12014 0.11071 0.11892 0.20255 0.20533 0.14886 0.13299 0.14516 0.20533 0.13963 0.12423 0.14039 0.20533 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
1	1	1	0.21875 0.21875 0.21611 0.18014 0.21875 0.15154 0.17115 0.18282 0.19346 0.21875 0.21875 0.21875 0.21875 0.21875 0.17969 0.20198 0.20649 0.21875 0.07114 0.06271 0.06683 0.09326 0.21875 0.10294 0.07549 0.06844 0.06518 0.11845 0.09556 0.09094 0.10406 0.17909 0.16200 0.15889 0.12551 0.11117 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
2	1	1	0.10048 0.10341 0.11871 0.16655 0.23618 0.16797 0.11890 0.09278 0.09586 0.21570 0.21553 0.22286 0.24078 0.24078 0.24078 0.24078 0.21796 0.21201 0.05101 0.05931 0.06842 0.09041 0.16855 0.08469 0.05669 0.04388 0.04587 0.12804 0.12852 0.12845 0.20343 0.24078 0.24078 0.20199 0.15756 0.13368 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
3	1	1	0.08919 0.09434 0.14016 0.24177 0.24177 0.24177 0.13830 0.10002 0.09608 0.12078 0.12017 0.15550 0.20367 0.24177 0.24026 0.18920 0.14290 0.14046 0.08531 0.07836 0.12490 0.22946 0.24177 0.21885 0.11564 0.08311 0.08512 0.11177 0.10591 0.13469 0.17421 0.24177 0.22280 0.17748 0.13271 0.12491 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
4	1	1	0.20160 0.17576 0.16592 0.17744 0.21360 0.21360 0.21360 0.21360 0.21360 0.09919 0.10591 0.11193 0.12325 0.17426 0.16634 0.13534 0.11389 0.10584 0.18085 0.15619 0.16156 0.17465 0.21360 0.21360 0.18341 0.17902 0.20309 0.10667 0.11496 0.12697 0.14334 0.19362 0.17947 0.14218 0.11904 0.11248 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
5	1	1	0.21047 0.21047 0.13900 0.09802 0.12292 0.12553 0.13535 0.14227 0.19768 0.20488 0.16105 0.13357 0.14600 0.19229 0.20496 0.20537 0.20391 0.20933 0.19407 0.14515 0.11053 0.09826 0.13349 0.12683 0.15618 0.17872 0.20779 0.16573 0.17052 0.14234 0.15443 0.18394 0.15551 0.16062 0.16921 0.17641 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
6	1	1	0.14917 0.09674 0.10880 0.24376 0.25587 0.23793 0.09961 0.09086 0.13677 0.09523 0.07917 0.09875 0.20556 0.25587 0.17389 0.08432 0.07393 0.08684 0.25587 0.12348 0.13376 0.22681 0.25587 0.22360 0.12579 0.11899 0.23061 0.13626 0.09464 0.12679 0.19588 0.25587 0.15975 0.09332 0.08508 0.12196 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
7	1	1	0.14306 0.11818 0.11320 0.13662 0.20251 0.16675 0.14607 0.13324 0.14260 0.18287 0.15459 0.16172 0.21374 0.22065 0.22065 0.19139 0.17235 0.17547 0.06544 0.06840 0.07418 0.09398 0.16432 0.11849 0.09220 0.06722 0.06374 0.20148 0.20480 0.21168 0.22065 0.22065 0.22065 0.22065 0.19566 0.19540 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
8	1	1	0.08767 0.10248 0.14459 0.21086 0.22103 0.15048 0.12508 0.09646 0.08293 0.11007 0.12588 0.16400 0.22103 0.22103 0.17109 0.15670 0.12454 0.10630 0.14102 0.17763 0.22103 0.22103 0.22103 0.19711 0.16865 0.13484 0.12264 0.13873 0.15926 0.20502 0.22103 0.22103 0.18388 0.16005 0.13525 0.13079 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
9	1	1	0.12266 0.10958 0.11788 0.15350 0.20792 0.16090 0.11959 0.11098 0.12121 0.18059 0.15465 0.16710 0.18706 0.20792 0.16512 0.15231 0.15441 0.16741 0.12568 0.11122 0.12245 0.16427 0.20792 0.16353 0.12903 0.12217 0.13400 0.20653 0.17167 0.19189 0.20792 0.20792 0.20792 0.20792 0.20792 0.20792 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
