124	2	6
0	1	1	0.00680 0.49557 0.66087 0.00133 0.09841 0.96958 
1	1	1	0.05217 0.70717 0.18461 0.02436 0.48907 0.46454 
2	1	1	0.03013 0.65115 0.16753 0.01503 0.46881 0.55468 
3	1	1	0.02613 0.82425 0.16936 0.01095 0.32657 0.60607 
4	1	1	0.01397 0.49220 0.27540 0.00966 0.31727 0.59603 
5	1	1	0.00128 0.89916 0.09642 0.00221 0.26924 0.78007 
6	1	1	0.04817 0.51911 0.36476 0.02501 0.50416 0.50715 
7	1	1	0.02454 0.24268 0.65307 0.01450 0.30384 0.70160 
8	1	1	0.00687 0.62926 0.23213 0.00638 0.14353 0.71373 
9	1	1	0.05625 0.70234 0.69799 0.00388 0.07292 0.96781 
10	1	1	0.02076 0.42564 0.54867 0.00440 0.17235 0.88947 
11	1	1	0.01797 0.74261 0.27881 0.00599 0.26142 0.77395 
12	1	2	0.05240 0.53115 0.23294 0.01761 0.43225 0.56491 
13	1	2	0.03662 0.31858 0.30334 0.02014 0.41331 0.59453 
14	1	2	0.06501 0.88036 0.07384 0.03726 0.41641 0.30206 
15	1	2	0.00378 0.60461 0.56406 0.00009 0.00000 0.99619 
16	1	2	0.01601 0.71060 0.25628 0.00474 0.24814 0.79806 
17	1	2	0.06463 0.78848 0.07292 0.02669 0.44661 0.47569 
18	1	2	0.15033 0.46284 0.22714 0.06286 0.56480 0.41081 
19	1	2	0.07392 0.65820 0.15316 0.01824 0.40699 0.57342 
20	1	2	0.14558 0.60151 0.33027 0.06379 0.44043 0.47200 
21	1	2	0.08193 0.68746 0.14853 0.04502 0.49356 0.43146 
22	1	2	0.01540 0.74323 0.44358 0.00119 0.05646 0.98412 
23	1	2	0.42555 0.55630 0.05741 0.24115 0.82420 0.07585 
24	2	0	0.02054 0.50953 0.66937 0.00302 0.10584 0.93618 
25	2	0	0.00000 0.79426 0.48956 0.00000 0.06107 1.00000 
26	2	0	0.33895 0.92276 0.20159 0.08544 0.25948 0.68644 
27	2	0	0.04734 0.82091 0.24501 0.00697 0.21525 0.81941 
28	2	0	0.02243 0.73795 0.22762 0.00781 0.35508 0.69521 
