175	2	6
0	1	1	0.00680 0.49557 0.66087 0.00133 0.09841 0.96958 
1	1	1	0.05217 0.70717 0.18461 0.02436 0.48907 0.46454 
2	1	1	0.03013 0.65115 0.16753 0.01503 0.46881 0.55468 
3	1	1	0.02613 0.82425 0.16936 0.01095 0.32657 0.60607 
4	1	1	0.01397 0.49220 0.27540 0.00966 0.31727 0.59603 
5	1	1	0.00128 0.89916 0.09642 0.00221 0.26924 0.78007 
6	1	1	0.04817 0.51911 0.36476 0.02501 0.50416 0.50715 
7	1	1	0.02454 0.24268 0.65307 0.01450 0.30384 0.70160 
8	1	1	0.00687 0.62926 0.23213 0.00638 0.14353 0.71373 
9	1	1	0.05625 0.70234 0.69799 0.00388 0.07292 0.96781 
10	1	1	0.02076 0.42564 0.54867 0.00440 0.17235 0.88947 
11	1	1	0.01797 0.74261 0.27881 0.00599 0.26142 0.77395 
12	1	1	0.01465 0.93451 0.05950 0.00823 0.33531 0.62972 
13	1	1	0.02877 0.50321 0.46330 0.00385 0.11785 0.86261 
14	1	1	0.03972 0.61229 0.63048 0.00259 0.07709 0.98829 
15	1	1	0.06456 0.81290 0.27983 0.01509 0.31494 0.74928 
16	1	1	0.07898 0.29537 0.56808 0.01518 0.22432 0.81609 
17	1	1	0.18174 0.43439 0.44822 0.04575 0.41545 0.53095 
18	1	1	0.00664 0.57933 0.35252 0.00351 0.19298 0.77782 
19	1	1	0.05202 0.76261 0.40034 0.02632 0.36750 0.63477 
20	1	1	0.08056 0.57531 0.10299 0.03322 0.53727 0.44854 
21	1	1	0.11484 0.73162 0.25374 0.04127 0.40477 0.56260 
22	1	1	0.05504 0.65689 0.38729 0.01551 0.30307 0.73700 
23	1	1	0.03836 0.69492 0.11230 0.02738 0.33992 0.40843 
24	1	1	0.18982 0.75805 0.37275 0.04592 0.34253 0.71899 
25	1	1	0.00597 0.49497 0.14334 0.00427 0.13214 0.69476 
26	1	1	0.00415 0.77255 0.12826 0.00479 0.16442 0.67684 
27	1	1	0.00732 0.78331 0.26472 0.00540 0.19197 0.76794 
28	1	1	0.01223 0.52216 0.30468 0.00371 0.16444 0.83225 
