162	2	6
0	1	1	0.01209 0.47937 0.59049 0.01967 0.19270 0.87794 
1	1	1	0.31589 0.65543 0.27715 0.26320 0.67168 0.45126 
2	1	1	0.16795 0.50262 0.20596 0.18457 0.62557 0.49223 
3	1	1	0.39752 0.83246 0.16397 0.25135 0.62844 0.42502 
4	1	1	0.23505 0.37214 0.35000 0.18700 0.45078 0.52042 
5	1	1	0.10600 0.87583 0.08909 0.11859 0.70853 0.51690 
6	1	1	0.14039 0.57712 0.41190 0.12558 0.59225 0.59591 
7	1	1	0.11820 0.24268 0.56313 0.08077 0.31859 0.72027 
8	1	1	0.32084 0.54231 0.29890 0.15520 0.28470 0.61937 
9	1	1	0.24056 0.61313 0.47843 0.12436 0.26288 0.66446 
10	1	1	0.16610 0.32946 0.43045 0.07646 0.28337 0.72859 
11	1	1	0.20668 0.78479 0.11895 0.13133 0.60287 0.55920 
12	1	1	0.15656 0.46748 0.14513 0.08677 0.28747 0.68544 
13	1	1	0.27140 0.54518 0.15096 0.13294 0.41097 0.61845 
14	1	1	0.06685 0.70135 0.10676 0.06014 0.36374 0.66642 
15	1	1	0.09640 0.20855 0.21444 0.04898 0.21272 0.77416 
16	1	1	0.24941 0.44165 0.17463 0.12195 0.29137 0.65728 
17	1	1	0.08703 0.18754 0.18169 0.06679 0.24117 0.71799 
18	1	1	0.16591 0.34427 0.40928 0.07763 0.28665 0.72368 
19	1	1	0.16856 0.35675 0.22981 0.07138 0.14327 0.77769 
20	1	1	0.04872 0.72678 0.16080 0.02956 0.29987 0.80997 
21	1	1	0.04335 0.76372 0.13214 0.03491 0.24663 0.76283 
22	1	1	0.23527 0.52020 0.21449 0.11350 0.32363 0.69009 
23	1	1	0.19549 0.68818 0.18396 0.09084 0.38902 0.67155 
24	1	1	0.05714 0.77601 0.12067 0.02915 0.22710 0.80817 
25	1	1	0.17016 0.59600 0.15004 0.08119 0.33485 0.68619 
26	1	1	0.09049 0.62175 0.18068 0.03962 0.21708 0.79051 
27	1	1	0.18756 0.47928 0.13743 0.13116 0.45005 0.54943 
28	1	1	0.17777 0.44796 0.16846 0.09989 0.33428 0.60865 
29	1	1	0.25783 0.52330 0.16618 0.13366 0.36110 0.61453 
30	1	1	0.03764 0.79706 0.18915 0.04605 0.34770 0.73916 
31	1	1	0.03870 0.56948 0.25421 0.02218 0.12589 0.87599 
32	1	1	0.05871 0.30459 0.27796 0.03789 0.17268 0.79639 
33	1	1	0.16666 0.33047 0.42230 0.07793 0.28807 0.72432 
34	1	1	0.03671 0.70903 0.13441 0.03720 0.28460 0.75019 
35	1	1	0.06931 0.23073 0.40880 0.03011 0.12284 0.89324 
36	1	1	0.19993 0.80487 0.11218 0.09476 0.48993 0.64308 
37	1	1	0.11003 0.66748 0.15161 0.05950 0.26999 0.72495 
38	1	1	0.06025 0.80748 0.15258 0.02166 0.19618 0.86020 
39	1	1	0.34113 0.49083 0.11537 0.18220 0.42782 0.53339 
40	1	1	0.07446 0.67133 0.17262 0.07442 0.39845 0.65032 
41	1	1	0.39545 0.52786 0.10493 0.21166 0.47013 0.53039 
42	1	1	0.16585 0.34479 0.41020 0.07708 0.28546 0.72542 
43	1	1	0.14878 0.54297 0.15917 0.08520 0.33370 0.68974 
44	1	1	0.07617 0.76796 0.18765 0.02838 0.18584 0.85934 
45	1	1	0.00000 0.64116 0.28008 0.00000 0.00000 1.00000 
46	1	1	0.12435 0.59608 0.09395 0.10200 0.51466 0.56755 
47	1	1	0.00316 0.64883 0.20318 0.01448 0.07576 0.89880 
48	1	1	0.05840 0.27530 0.30035 0.03494 0.09742 0.85720 
49	1	1	0.01550 0.64918 0.36563 0.00800 0.01123 0.98018 
50	1	2	0.44665 0.51239 0.23741 0.27169 0.58322 0.46045 
51	1	2	0.43594 0.31927 0.23082 0.27292 0.51560 0.44221 
52	1	2	0.67152 0.85927 0.04629 0.66807 0.80861 0.09401 
53	1	2	0.09308 0.59501 0.38845 0.07431 0.13078 0.63380 
54	1	2	0.21496 0.73855 0.26586 0.14453 0.41172 0.52863 
55	1	2	0.40040 0.62691 0.14946 0.29467 0.58109 0.32565 
56	1	2	0.59885 0.45542 0.25200 0.42925 0.62401 0.38668 
57	1	2	0.14794 0.63960 0.18374 0.14123 0.61132 0.50464 
58	1	2	0.51043 0.56189 0.32195 0.32422 0.46691 0.44410 
59	1	2	0.27361 0.66506 0.18462 0.23113 0.54890 0.43459 
