162	2	58
0	1	1	0.13235 0.12078 0.13813 0.19881 0.24168 0.14807 0.11033 0.13235 0.17898 0.12019 0.12183 0.14856 0.24168 0.24168 0.19563 0.12697 0.11800 0.14120 0.10738 0.11857 0.14731 0.24168 0.24168 0.17850 0.11750 0.10752 0.11723 0.12174 0.13490 0.16911 0.24168 0.24168 0.21586 0.13314 0.11967 0.12736 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
1	1	1	0.06549 0.05966 0.06988 0.10219 0.24183 0.17548 0.10616 0.07831 0.07361 0.24183 0.20502 0.20571 0.24183 0.24183 0.24183 0.24183 0.24183 0.24183 0.02791 0.02784 0.03656 0.05839 0.23193 0.14024 0.07623 0.04384 0.03093 0.13062 0.10760 0.10445 0.15839 0.24183 0.24183 0.23035 0.15711 0.14415 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
2	1	1	0.21231 0.21231 0.13903 0.11802 0.14645 0.13271 0.14179 0.15528 0.20301 0.21231 0.21231 0.18492 0.16413 0.18851 0.15244 0.17366 0.17234 0.21231 0.21231 0.17338 0.12781 0.11429 0.14045 0.11717 0.12818 0.18256 0.21231 0.21231 0.14059 0.11683 0.12332 0.14416 0.09527 0.10004 0.15339 0.21231 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
3	1	1	0.23979 0.16317 0.14284 0.14525 0.16534 0.15072 0.15724 0.23979 0.23979 0.14419 0.11615 0.12187 0.14218 0.17657 0.12999 0.10760 0.13268 0.17610 0.23979 0.18029 0.15124 0.14070 0.15361 0.13741 0.13888 0.23979 0.23979 0.18205 0.13007 0.12565 0.13385 0.15043 0.11785 0.10244 0.13370 0.21566 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
4	1	1	0.20435 0.19443 0.17992 0.17881 0.19351 0.19745 0.19889 0.20435 0.20435 0.17804 0.15929 0.14571 0.16044 0.20435 0.19496 0.15001 0.15515 0.17416 0.11403 0.11324 0.11287 0.12695 0.13801 0.12229 0.10762 0.10731 0.10910 0.16820 0.16230 0.15879 0.17994 0.20435 0.20435 0.15347 0.15404 0.16470 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
5	1	1	0.16433 0.21610 0.24440 0.24440 0.24440 0.24440 0.18253 0.14974 0.14570 0.09983 0.12224 0.19422 0.24119 0.22908 0.11022 0.09194 0.07982 0.08955 0.13366 0.15964 0.24440 0.24440 0.24440 0.16340 0.12808 0.11454 0.12206 0.09667 0.08948 0.11542 0.12723 0.16691 0.09035 0.08753 0.08062 0.09476 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
6	1	1	0.05239 0.04695 0.06586 0.18340 0.24975 0.09229 0.06970 0.04815 0.05587 0.19756 0.19357 0.21362 0.24975 0.24975 0.23281 0.16157 0.14798 0.17267 0.04334 0.04567 0.06371 0.09942 0.17443 0.06295 0.05536 0.04806 0.04457 0.19359 0.21928 0.24590 0.24975 0.24975 0.24797 0.19899 0.18183 0.17296 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
7	1	1	0.12186 0.08509 0.09159 0.14323 0.25322 0.13719 0.08509 0.07664 0.10793 0.14017 0.12277 0.15115 0.25322 0.25322 0.25322 0.14893 0.12115 0.13440 0.14463 0.09481 0.10898 0.14983 0.25322 0.15655 0.10024 0.09462 0.13686 0.16480 0.12256 0.17236 0.25322 0.25322 0.25322 0.17652 0.14253 0.16621 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
8	1	1	0.09707 0.10410 0.12079 0.15486 0.22986 0.13927 0.11102 0.09786 0.10473 0.18897 0.18893 0.21190 0.22986 0.22986 0.22825 0.16420 0.15558 0.18595 0.07668 0.08661 0.10558 0.15190 0.22986 0.17037 0.12976 0.09945 0.08973 0.12114 0.14503 0.18909 0.22986 0.22986 0.22986 0.19963 0.15058 0.13117 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
9	1	1	0.09665 0.09874 0.11895 0.20507 0.24538 0.24538 0.15295 0.10145 0.09885 0.12299 0.11924 0.14473 0.24075 0.24538 0.24538 0.21009 0.13444 0.13205 0.07266 0.07409 0.10115 0.17316 0.24538 0.23470 0.13487 0.08188 0.06984 0.08378 0.08528 0.11784 0.20014 0.24538 0.24538 0.20971 0.11364 0.09206 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
