162	2	58
0	1	1	0.16792 0.11447 0.18066 0.14346 0.27045 0.11692 0.13985 0.12133 0.19424 0.14422 0.11425 0.17557 0.16908 0.27045 0.14478 0.14529 0.10639 0.15713 0.12715 0.10765 0.18551 0.17183 0.27045 0.13114 0.15558 0.09410 0.13054 0.14378 0.12162 0.19227 0.20052 0.27045 0.15107 0.16273 0.10400 0.14642 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
1	1	1	0.08725 0.05384 0.09005 0.06087 0.25814 0.10495 0.13812 0.07036 0.09343 0.25814 0.16359 0.24312 0.15895 0.25814 0.23724 0.25814 0.22262 0.25814 0.04417 0.02744 0.05448 0.03529 0.25814 0.08365 0.09938 0.04245 0.04946 0.15739 0.08775 0.13523 0.08718 0.25814 0.21508 0.25814 0.13788 0.17198 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
2	1	1	0.21504 0.18009 0.14044 0.08088 0.20706 0.08948 0.14921 0.12602 0.21504 0.21504 0.21504 0.21504 0.13623 0.21504 0.12206 0.20378 0.16199 0.21504 0.21504 0.13301 0.12367 0.07257 0.20670 0.07389 0.14726 0.14026 0.21504 0.21504 0.11981 0.12573 0.09407 0.19380 0.06839 0.12080 0.12885 0.21504 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
3	1	1	0.23649 0.13393 0.14781 0.09342 0.23557 0.09655 0.17587 0.23649 0.23649 0.15446 0.10162 0.12456 0.10569 0.23296 0.09601 0.11191 0.11319 0.17624 0.23649 0.14149 0.16167 0.08268 0.23649 0.08009 0.16180 0.21480 0.23649 0.19439 0.11262 0.13274 0.09947 0.21315 0.08868 0.11139 0.11599 0.21953 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
4	1	1	0.22548 0.15545 0.20518 0.10680 0.22548 0.12200 0.22548 0.17743 0.22548 0.20664 0.13598 0.16447 0.11111 0.22548 0.13016 0.17407 0.13315 0.20727 0.13341 0.09988 0.14468 0.08796 0.22548 0.08289 0.13074 0.09305 0.13489 0.18299 0.13608 0.17584 0.12347 0.22548 0.14804 0.17558 0.12762 0.18665 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
5	1	1	0.21856 0.18743 0.26140 0.22689 0.26140 0.14390 0.19106 0.12789 0.20381 0.11237 0.09814 0.19367 0.11961 0.26140 0.06128 0.09624 0.05884 0.10374 0.19293 0.14085 0.26140 0.16804 0.26140 0.08432 0.16036 0.09063 0.18358 0.12967 0.06787 0.13549 0.06055 0.26140 0.04359 0.10657 0.05793 0.12847 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
6	1	1	0.07516 0.05003 0.08964 0.10796 0.27839 0.06349 0.08622 0.04380 0.07501 0.21624 0.16009 0.23024 0.22192 0.27839 0.13935 0.17946 0.11375 0.20318 0.06485 0.04441 0.08717 0.06832 0.27839 0.04791 0.07560 0.04465 0.06547 0.22303 0.17050 0.26131 0.21632 0.27839 0.15518 0.21276 0.14277 0.20861 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
7	1	1	0.14421 0.07487 0.12017 0.10875 0.27777 0.10141 0.11226 0.06721 0.13360 0.17193 0.10124 0.16706 0.19899 0.27777 0.19579 0.16025 0.09622 0.16712 0.15949 0.08493 0.13950 0.11135 0.27777 0.11433 0.12111 0.07965 0.15425 0.19242 0.10145 0.18007 0.21233 0.27777 0.23403 0.17637 0.11140 0.19148 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
8	1	1	0.12810 0.08287 0.13891 0.08088 0.27510 0.07153 0.13187 0.08383 0.12830 0.21669 0.14016 0.22634 0.14216 0.27510 0.11368 0.18988 0.12516 0.21078 0.12111 0.07215 0.14101 0.07062 0.27510 0.08370 0.15626 0.08474 0.12611 0.19076 0.11955 0.23395 0.13508 0.27510 0.13955 0.23934 0.12867 0.18995 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
9	1	1	0.12494 0.08218 0.13537 0.12815 0.28786 0.16767 0.17240 0.08961 0.12430 0.16416 0.09572 0.16200 0.14801 0.28786 0.20725 0.21697 0.11467 0.16834 0.10801 0.06683 0.12192 0.10595 0.28786 0.13953 0.16260 0.07388 0.10978 0.15707 0.07255 0.14795 0.11344 0.28786 0.20005 0.25231 0.10126 0.16493 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
10	1	1	0.21460 0.11858 0.16007 0.10177 0.23666 0.11577 0.19827 0.13643 0.21865 0.22088 0.15173 0.18195 0.09297 0.23666 0.10249 0.17648 0.14221 0.21499 0.19291 0.09627 0.15353 0.10565 0.23666 0.09816 0.15378 0.09879 0.19517 0.18841 0.11537 0.16288 0.10010 0.23666 0.10163 0.16171 0.12139 0.19444 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
11	1	1	0.12352 0.09680 0.12610 0.10564 0.23454 0.05778 0.07665 0.06159 0.11679 0.14507 0.09616 0.13149 0.06973 0.23454 0.04714 0.09403 0.06865 0.14009 0.23454 0.21376 0.23454 0.17754 0.23454 0.13558 0.19582 0.17494 0.23454 0.23454 0.19375 0.22150 0.12587 0.23454 0.09815 0.17630 0.16934 0.23454 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
