162	2	6
0	1	1	0.43989 0.51238 0.23740 0.25771 0.61410 0.52444 
1	1	1	0.42903 0.31927 0.23082 0.25895 0.55148 0.50369 
2	1	1	0.66750 0.85927 0.04629 0.66169 0.82279 0.10708 
3	1	1	0.08198 0.59501 0.38845 0.05652 0.19517 0.72191 
4	1	1	0.20535 0.73855 0.26586 0.12809 0.45530 0.60213 
5	1	1	0.39306 0.62691 0.14946 0.28112 0.61213 0.37092 
6	1	1	0.59394 0.45542 0.25200 0.41828 0.65186 0.44044 
7	1	1	0.13751 0.63960 0.18374 0.12472 0.64011 0.57480 
8	1	1	0.50444 0.56189 0.32195 0.31123 0.50640 0.50584 
9	1	1	0.26472 0.66506 0.18462 0.21636 0.58232 0.49501 
10	1	1	0.09203 0.73597 0.40868 0.06081 0.24989 0.75162 
11	1	1	0.47305 0.46604 0.06765 0.47630 0.86585 0.32237 
12	1	1	0.24965 0.58176 0.32589 0.09985 0.38488 0.78400 
13	1	1	0.18275 0.34556 0.29550 0.05560 0.26535 0.85217 
14	1	1	0.50837 0.56322 0.17853 0.36800 0.52061 0.45513 
15	1	1	0.02694 0.55112 0.45297 0.00741 0.08964 0.96874 
16	1	1	0.15227 0.67108 0.36665 0.05129 0.22219 0.86011 
17	1	1	0.11287 0.49528 0.24690 0.05924 0.31622 0.80114 
18	1	1	0.24849 0.37618 0.29979 0.09860 0.35339 0.81205 
19	1	1	0.06345 0.56584 0.26240 0.04654 0.38608 0.81909 
20	1	1	0.13018 0.49623 0.37886 0.06559 0.26424 0.82198 
21	1	1	0.14774 0.59151 0.32785 0.06032 0.34874 0.85249 
22	1	1	0.06849 0.70931 0.45527 0.02465 0.19206 0.90933 
23	1	1	0.28325 0.30030 0.17937 0.14137 0.38896 0.70034 
24	1	1	0.20119 0.58767 0.31503 0.07466 0.27716 0.78103 
25	1	1	0.14839 0.43337 0.23484 0.05265 0.26335 0.79253 
26	1	1	0.58198 0.60641 0.15673 0.44024 0.50350 0.37438 
27	1	1	0.01375 0.48083 0.46595 0.00000 0.00000 0.97409 
28	1	1	0.14015 0.67340 0.33242 0.04631 0.18229 0.82444 
29	1	1	0.10103 0.54739 0.20647 0.04911 0.25583 0.76182 
30	1	1	0.13913 0.40303 0.26940 0.05833 0.27325 0.80696 
31	1	1	0.07568 0.58610 0.23190 0.05821 0.32814 0.72762 
32	1	1	0.12454 0.47833 0.35392 0.05566 0.18216 0.77122 
33	1	1	0.12551 0.58028 0.28380 0.07010 0.31891 0.78314 
34	1	1	0.07039 0.69912 0.44803 0.02134 0.14541 0.91165 
35	1	1	0.25529 0.28184 0.16292 0.12105 0.28872 0.67257 
36	1	1	0.22915 0.61981 0.28509 0.08729 0.29427 0.77554 
37	1	1	0.15499 0.46330 0.22847 0.05053 0.24146 0.80928 
38	1	1	0.52721 0.60206 0.15854 0.37594 0.42453 0.41712 
39	1	1	0.01887 0.58402 0.40282 0.00965 0.04590 0.93163 
40	1	1	0.15426 0.70540 0.32723 0.04817 0.16599 0.82996 
41	1	1	0.08506 0.59528 0.19005 0.05074 0.26125 0.74996 
42	1	1	0.20920 0.41377 0.26294 0.07519 0.25030 0.82087 
43	1	1	0.07608 0.58219 0.22672 0.05926 0.32457 0.75485 
44	1	1	0.13185 0.55199 0.32867 0.06469 0.22923 0.77990 
45	1	1	0.13718 0.62014 0.26685 0.05799 0.29639 0.82630 
46	1	1	0.08081 0.72561 0.40597 0.02804 0.16957 0.88697 
47	1	1	0.22079 0.25538 0.17062 0.09422 0.24849 0.72019 
48	1	1	0.24266 0.62249 0.28077 0.09505 0.31055 0.75821 
