150	2	6
0	1	1	0.04902 0.55518 0.19323 0.02010 0.43697 0.61667 
1	1	1	0.07476 0.39515 0.23634 0.02350 0.41615 0.65044 
2	1	1	0.05022 0.88904 0.05814 0.03546 0.40715 0.37901 
3	1	1	0.00000 0.64899 0.49808 0.00000 0.00000 1.00000 
4	1	1	0.04737 0.73079 0.22678 0.00659 0.25794 0.83388 
5	1	1	0.04311 0.80318 0.07086 0.02135 0.41967 0.56740 
6	1	1	0.23275 0.50271 0.20436 0.07594 0.56875 0.46246 
7	1	1	0.06144 0.66268 0.13803 0.02126 0.42524 0.60395 
8	1	1	0.25924 0.63283 0.31842 0.08304 0.43181 0.50369 
9	1	1	0.09497 0.70800 0.16012 0.04932 0.47322 0.49127 
10	1	1	0.01482 0.77156 0.39372 0.00135 0.06100 0.97051 
11	1	1	0.59168 0.59479 0.03170 0.28991 0.83003 0.13633 
12	1	1	0.05224 0.83882 0.08310 0.02133 0.57009 0.55281 
13	1	1	0.03420 0.64233 0.02010 0.02841 0.38699 0.39682 
14	1	1	0.00636 0.62698 0.29941 0.00410 0.09657 0.78234 
15	1	1	0.12042 0.56675 0.28310 0.04214 0.44131 0.54648 
16	1	1	0.12985 0.67344 0.22280 0.04257 0.45911 0.66627 
17	1	1	0.01108 0.82517 0.21644 0.00270 0.07712 0.83983 
18	1	1	0.14264 0.80657 0.14867 0.06184 0.60729 0.49865 
19	1	1	0.17183 0.73813 0.15786 0.07829 0.67552 0.46566 
20	1	1	0.01085 0.64151 0.32757 0.00166 0.11177 0.92611 
21	1	1	0.07237 0.54889 0.29661 0.01407 0.19028 0.83450 
22	1	1	0.07125 0.35714 0.32538 0.01855 0.33039 0.73996 
23	1	1	0.27444 0.75676 0.10504 0.09412 0.51895 0.51295 
24	1	1	0.03263 0.45249 0.35248 0.00567 0.17656 0.83149 
25	1	2	0.02170 0.53790 0.52563 0.00232 0.12671 0.97216 
26	1	2	0.05725 0.72648 0.15410 0.02610 0.49323 0.52301 
27	1	2	0.05231 0.65065 0.14587 0.01944 0.47981 0.59277 
28	1	2	0.05830 0.84194 0.15406 0.01208 0.32846 0.64691 
29	1	2	0.02694 0.50930 0.22569 0.01190 0.32696 0.64214 
30	1	2	0.00262 0.93068 0.07064 0.00403 0.29433 0.74434 
31	1	2	0.03218 0.51743 0.32379 0.02672 0.54793 0.54499 
32	1	2	0.02395 0.30685 0.57696 0.01814 0.33608 0.73112 
33	1	2	0.01160 0.66661 0.19941 0.00720 0.14517 0.75278 
34	1	2	0.07229 0.72971 0.61751 0.00858 0.08866 0.92770 
35	1	2	0.05014 0.46196 0.43749 0.01034 0.23502 0.86554 
36	1	2	0.04775 0.81051 0.19678 0.01229 0.37580 0.70308 
37	1	2	0.06249 0.92345 0.06711 0.01749 0.43182 0.63276 
38	1	2	0.02320 0.55292 0.40714 0.00402 0.11928 0.89786 
39	1	2	0.02245 0.65211 0.54171 0.00293 0.09813 0.96678 
40	1	2	0.04004 0.83992 0.22011 0.01190 0.31839 0.77190 
41	1	2	0.07110 0.36449 0.51666 0.01578 0.22273 0.84313 
42	1	2	0.11263 0.48336 0.40370 0.03911 0.39796 0.59338 
43	1	2	0.00419 0.61611 0.33885 0.00349 0.18179 0.83296 
44	1	2	0.05935 0.78882 0.33922 0.02694 0.37618 0.64707 
45	1	2	0.12027 0.61064 0.10017 0.03613 0.52184 0.51441 
46	1	2	0.21060 0.75234 0.22114 0.05329 0.41260 0.59102 
47	1	2	0.07297 0.68787 0.34680 0.01642 0.31778 0.74482 
48	1	2	0.04348 0.71644 0.11343 0.02760 0.30969 0.47817 
49	1	2	0.15125 0.78916 0.31357 0.03819 0.34461 0.74863 
50	2	0	0.05830 0.53454 0.52254 0.00786 0.17415 0.93291 
51	2	0	0.00464 0.81310 0.42067 0.00180 0.08140 0.94435 
52	2	0	0.35444 0.92913 0.18656 0.08649 0.26035 0.72739 
53	2	0	0.03203 0.85365 0.20182 0.00633 0.21962 0.83071 
54	2	0	0.02589 0.68563 0.22299 0.01502 0.43445 0.67507 
55	2	0	0.04281 0.71575 0.20149 0.01517 0.28763 0.71569 
56	2	0	0.01302 0.88508 0.13978 0.00582 0.29194 0.78609 
57	2	0	0.07349 0.92288 0.10922 0.03456 0.55718 0.59062 
58	2	0	0.15185 0.96640 0.14508 0.04884 0.46175 0.59719 
59	2	0	0.10537 0.66727 0.34179 0.03254 0.33328 0.78068 
60	2	0	1.00000 0.97179 0.12582 1.00000 1.00000 0.00000 
61	2	0	0.21681 0.93777 0.11087 0.13464 0.73514 0.37109 
62	2	0	0.07596 0.82576 0.26802 0.02605 0.39369 0.67830 
63	2	0	0.00718 0.80750 0.15069 0.00305 0.14622 0.83620 
64	2	0	0.00471 0.82050 0.17194 0.00210 0.17112 0.88452 
65	2	0	0.02103 0.69587 0.41089 0.00411 0.23537 0.87545 
66	2	0	0.06563 0.94982 0.12409 0.03091 0.50560 0.57625 
67	2	0	0.40308 0.77635 0.46352 0.12310 0.43075 0.64859 
68	2	0	0.04573 0.79963 0.24259 0.00547 0.15257 0.90429 
69	2	0	0.09115 0.00000 1.00000 0.03068 0.26253 0.83671 
70	2	0	0.06698 0.99543 0.01367 0.03177 0.69390 0.48866 
71	2	0	0.05164 0.82722 0.19204 0.00602 0.25957 0.83652 
72	2	0	0.10882 0.88991 0.10770 0.02346 0.47384 0.64254 
73	2	0	0.03712 0.79402 0.13547 0.01282 0.35252 0.70452 
74	2	0	0.01489 0.86756 0.25040 0.00587 0.30184 0.80749 
75	2	0	0.01557 0.92312 0.16401 0.00412 0.27983 0.82120 
76	2	0	0.04191 0.84708 0.18855 0.01260 0.35400 0.74960 
77	2	0	0.07828 0.89370 0.18568 0.03437 0.48196 0.61365 
78	2	0	0.09497 0.68094 0.28839 0.03009 0.58464 0.61546 
79	2	0	0.08142 0.94531 0.12796 0.01625 0.35521 0.71396 
80	2	0	0.00980 0.80720 0.15532 0.00194 0.13766 0.88338 
81	2	0	0.10844 0.99853 0.04359 0.04161 0.73967 0.42461 
82	2	0	0.06189 0.81981 0.43804 0.01935 0.42317 0.69261 
83	2	0	0.07192 0.89145 0.16482 0.03653 0.56946 0.48363 
84	2	0	0.08449 0.81532 0.15661 0.03326 0.58957 0.55552 
85	2	0	0.04445 0.89096 0.11974 0.01623 0.41164 0.61259 
86	2	0	0.03966 0.98108 0.07638 0.00766 0.29829 0.75164 
87	2	0	0.03697 0.64771 0.15385 0.00952 0.28573 0.71195 
88	2	0	0.00793 0.76755 0.30557 0.00545 0.26730 0.81645 
89	2	0	0.06601 0.75994 0.07155 0.04930 0.54308 0.34593 
90	2	0	0.01227 0.62912 0.41174 0.00291 0.17111 0.95422 
91	2	0	0.03937 0.64417 0.62166 0.01093 0.26904 0.83674 
92	2	0	0.06286 0.95519 0.07287 0.01538 0.30894 0.64566 
93	2	0	0.16727 0.98804 0.07143 0.08020 0.62780 0.44490 
94	2	0	0.06938 0.73464 0.27742 0.02374 0.45597 0.71535 
95	2	0	0.01654 0.72555 0.27813 0.00169 0.05868 0.90730 
96	2	0	0.10897 0.79364 0.14037 0.07189 0.75534 0.36961 
97	2	0	0.04348 0.66859 0.26965 0.01547 0.29067 0.70815 
98	2	0	0.02956 0.82611 0.20772 0.00691 0.24149 0.79228 
99	2	0	0.03136 0.72825 0.35229 0.00912 0.29434 0.78963 
100	2	0	0.05059 0.96504 0.05442 0.01671 0.32258 0.51922 
101	2	0	0.04333 0.77894 0.41130 0.01324 0.26016 0.83798 
102	2	0	0.06077 0.98492 0.09474 0.04266 0.67814 0.43583 
103	2	0	0.21741 0.86279 0.22097 0.04780 0.38413 0.65581 
104	2	0	0.02971 0.73166 0.28668 0.00813 0.23094 0.83187 
105	2	0	0.00606 0.77989 0.42082 0.00119 0.09313 0.96964 
106	2	0	0.25004 0.76901 0.32949 0.04365 0.28147 0.75333 
107	2	0	0.05897 0.92249 0.23112 0.02776 0.42312 0.61095 
108	2	0	0.03720 0.63584 0.45971 0.01491 0.32481 0.78049 
109	2	0	0.02402 0.67743 0.43630 0.00661 0.24461 0.87858 
110	2	0	0.00659 0.81460 0.22960 0.00304 0.17933 0.85843 
111	2	0	0.11203 0.86402 0.20726 0.02697 0.31878 0.73823 
112	2	0	0.02874 0.75864 0.24066 0.00638 0.25831 0.81627 
113	2	0	0.02103 0.87140 0.21706 0.00887 0.25720 0.72722 
114	2	0	0.01474 0.75615 0.38793 0.00238 0.10884 0.96356 
115	2	0	0.05920 0.96644 0.02948 0.03109 0.35508 0.38497 
116	2	0	0.08592 0.84756 0.18463 0.04074 0.45951 0.56951 
117	2	0	0.66322 0.98099 0.07687 0.37437 0.73605 0.09643 
118	2	0	0.16652 0.96202 0.11705 0.05766 0.55860 0.50732 
119	2	0	0.11346 0.85253 0.26822 0.02037 0.20630 0.77681 
120	2	0	0.04281 0.87025 0.11537 0.01299 0.33119 0.68391 
121	2	0	0.09759 0.88029 0.07691 0.05319 0.77234 0.52495 
122	2	0	0.01003 0.67303 0.38030 0.00316 0.10913 0.85646 
123	2	0	0.03458 0.79914 0.23582 0.00979 0.31749 0.76644 
124	2	0	0.08150 0.87593 0.14242 0.02256 0.33116 0.65367 
125	2	0	0.02724 0.59701 0.21417 0.01242 0.31131 0.75175 
126	2	0	0.09699 0.79669 0.20481 0.05899 0.62486 0.52355 
