150	2	6
0	1	1	0.43989 0.51238 0.23740 0.25709 0.56199 0.52444 
1	1	1	0.42903 0.31927 0.23082 0.25834 0.49092 0.50369 
2	1	1	0.66750 0.85927 0.04629 0.66141 0.79886 0.10708 
3	1	1	0.08198 0.59501 0.38845 0.05574 0.08649 0.72192 
4	1	1	0.20535 0.73855 0.26586 0.12737 0.38175 0.60213 
5	1	1	0.39306 0.62691 0.14946 0.28052 0.55975 0.37092 
6	1	1	0.59394 0.45542 0.25200 0.41780 0.60485 0.44044 
7	1	1	0.13751 0.63960 0.18374 0.12400 0.59151 0.57480 
8	1	1	0.50443 0.56189 0.32195 0.31066 0.43975 0.50585 
9	1	1	0.26472 0.66506 0.18462 0.21571 0.52592 0.49501 
10	1	1	0.09202 0.73597 0.40868 0.06003 0.14860 0.75162 
11	1	1	0.47305 0.46604 0.06765 0.47586 0.84773 0.32238 
12	1	1	0.08222 0.80660 0.14839 0.07786 0.72544 0.67592 
13	1	1	0.44373 0.26462 0.11238 0.40751 0.59851 0.27022 
14	1	1	0.41719 0.41075 0.37287 0.22468 0.24651 0.57264 
15	1	1	0.28636 0.63252 0.26563 0.22755 0.56924 0.49690 
16	1	1	0.45311 0.51567 0.31144 0.25659 0.47071 0.57528 
17	1	1	0.22659 0.84464 0.16105 0.14551 0.31650 0.59538 
18	1	1	0.46934 0.75539 0.15459 0.35678 0.69226 0.34430 
19	1	1	0.51962 0.68945 0.20868 0.33972 0.65365 0.47280 
20	1	1	0.05047 0.55243 0.32508 0.03884 0.09043 0.73728 
21	1	1	0.14876 0.35197 0.31148 0.06378 0.22177 0.73962 
22	1	1	0.23815 0.29121 0.37467 0.11379 0.26469 0.80810 
23	1	1	0.56550 0.75468 0.16278 0.40010 0.67180 0.44298 
24	1	1	0.11766 0.25091 0.41066 0.07092 0.21996 0.74732 
25	1	2	0.00000 0.47936 0.59049 0.00000 0.15157 1.00000 
26	1	2	0.30752 0.65543 0.27715 0.24842 0.65495 0.51400 
27	1	2	0.15777 0.50262 0.20596 0.16821 0.60649 0.56066 
28	1	2	0.39014 0.83246 0.16397 0.23633 0.60950 0.48411 
29	1	2	0.22569 0.37214 0.35000 0.17070 0.42280 0.59277 
30	1	2	0.09506 0.87583 0.08909 0.10091 0.69367 0.58877 
31	1	2	0.12987 0.57712 0.41190 0.10803 0.57147 0.67876 
32	1	2	0.10741 0.24268 0.56313 0.06233 0.28387 0.82041 
33	1	2	0.31253 0.54231 0.29890 0.13825 0.24826 0.70549 
34	1	2	0.23127 0.61313 0.47843 0.10679 0.22532 0.75684 
35	1	2	0.15590 0.32946 0.43045 0.05793 0.24686 0.82989 
36	1	2	0.19697 0.78479 0.11895 0.11390 0.58264 0.63694 
37	1	2	0.14043 0.91378 0.09165 0.08374 0.64124 0.67406 
38	1	2	0.07911 0.51519 0.35512 0.04346 0.05778 0.75605 
39	1	2	0.11256 0.73130 0.41233 0.04075 0.10376 0.81772 
40	1	2	0.18708 0.82574 0.23881 0.11033 0.47556 0.64599 
41	1	2	0.24478 0.27308 0.42635 0.11156 0.29908 0.73556 
42	1	2	0.15802 0.57799 0.37729 0.13064 0.42800 0.64360 
43	1	2	0.18677 0.51754 0.35575 0.12598 0.35422 0.66106 
44	1	2	0.12114 0.69578 0.41461 0.09547 0.37028 0.63811 
45	1	2	0.35949 0.50834 0.14150 0.25915 0.66722 0.41427 
46	1	2	0.46854 0.68068 0.31354 0.33071 0.59833 0.42436 
47	1	2	0.19609 0.58398 0.39870 0.08945 0.35813 0.74077 
48	1	2	0.86668 0.66264 0.14312 0.75551 0.71448 0.27013 
49	1	2	0.27073 0.85418 0.25770 0.14153 0.41347 0.65354 
50	2	0	0.13389 0.49915 0.65092 0.04869 0.14272 0.90228 
51	2	0	0.34077 0.75325 0.51992 0.15735 0.26812 0.68548 
52	2	0	0.14466 0.79636 0.27320 0.07950 0.27495 0.63350 
53	2	0	0.15360 0.86689 0.15367 0.07630 0.36943 0.66363 
54	2	0	0.45948 0.66665 0.29258 0.29353 0.57278 0.48066 
55	2	0	0.13845 0.65625 0.25801 0.07794 0.36618 0.67689 
56	2	0	0.12542 0.88741 0.15047 0.07413 0.40473 0.64417 
57	2	0	0.47795 0.90610 0.11221 0.33670 0.73091 0.39029 
58	2	0	0.49704 0.97077 0.10017 0.35459 0.74622 0.37388 
59	2	0	0.44056 0.50672 0.49227 0.24895 0.33669 0.62220 
60	2	0	0.95882 0.93263 0.08949 0.93279 0.86606 0.12102 
61	2	0	0.63470 0.88958 0.14379 0.48648 0.74930 0.33777 
62	2	0	0.24753 0.74053 0.22113 0.16499 0.48707 0.59559 
63	2	0	0.23413 0.76032 0.23916 0.14080 0.28151 0.59796 
64	2	0	0.20966 0.73681 0.29758 0.12580 0.36253 0.57837 
65	2	0	0.25045 0.63247 0.48505 0.14549 0.40689 0.61720 
66	2	0	0.24991 0.93349 0.12815 0.27642 0.77613 0.38142 
67	2	0	0.38822 0.66141 0.43285 0.28097 0.47840 0.52877 
68	2	0	0.04240 0.75319 0.33274 0.01440 0.12346 0.87273 
69	2	0	0.45064 0.00000 1.00000 0.24280 0.15353 0.63688 
70	2	0	0.45571 0.96818 0.04415 0.40348 0.95010 0.22628 
71	2	0	0.26506 0.82732 0.20425 0.17065 0.49788 0.52426 
72	2	0	0.17303 0.87359 0.21013 0.09458 0.57060 0.69073 
73	2	0	0.20541 0.69495 0.21773 0.10812 0.42797 0.64392 
74	2	0	0.10117 0.85200 0.21982 0.07454 0.46532 0.67952 
75	2	0	0.16154 0.95388 0.11034 0.09699 0.50869 0.58661 
76	2	0	0.22427 0.84084 0.26003 0.13080 0.48416 0.60463 
77	2	0	0.50715 0.85371 0.24269 0.34888 0.66862 0.39457 
78	2	0	0.46588 0.61427 0.32609 0.33478 0.71846 0.40380 
79	2	0	0.21861 0.90481 0.15554 0.14671 0.55689 0.53842 
80	2	0	0.09979 0.58621 0.21882 0.06249 0.25797 0.68570 
81	2	0	0.39125 1.00000 0.04427 0.31095 1.00000 0.29211 
82	2	0	0.43382 0.81801 0.34474 0.26751 0.63421 0.51056 
83	2	0	0.32466 0.83332 0.15357 0.27121 0.74120 0.40052 
84	2	0	0.29670 0.76393 0.19788 0.19270 0.74808 0.53433 
85	2	0	0.21722 0.88213 0.17505 0.12626 0.66033 0.61191 
86	2	0	0.20750 0.96683 0.14686 0.13461 0.52333 0.50604 
87	2	0	0.25336 0.58751 0.29518 0.16888 0.36177 0.50933 
88	2	0	0.30673 0.78293 0.40170 0.15378 0.44586 0.61586 
